"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
3.0622,1.6723,0.6198,2.8096,0.245,4.389,0.08479,0.4906,0.5246,0.1278,0.7904,2.8355,0.6272,0.8545,0.9168,0.9326,5.7297,5.0999,0.8884,0.8047,1.3712,0.8447,3.8462,0.4765
5.0587,1.1852,1.9068,1.3092,0.8748,NA,1.1448,1.3794,0.6577,NA,0.8625,1.294,NA,0.9563,1.0796,1.4854,5.9528,4.3045,NA,1.1898,1.7799,1.8371,5.2619,2.8994
3.535,0.9948,0.8491,0.5872,1.92,3.3621,0.1657,0.2789,1.089,0.5269,0,0.9413,0,0.1933,0,0.5155,7.0226,3.6088,1.6212,0.7932,1.1746,0.6844,3.4983,0.8562
3.782,1.5436,1.2147,1.1495,0.2919,4.5677,0.3791,0.0185,0.1402,0.5869,0.2235,2.221,0.7454,0.9721,0.3701,0.07659,5.5687,4.0279,1.2339,0.4203,1.3417,1.3518,4.4574,1.7839
3.6605,1.7665,1.8525,2.5412,1.6441,5.5188,3.6396,1.4433,1.5649,2.1147,2.772,2.5862,2.4569,2.0731,1.8775,1.5218,7.7957,5.983,3.4219,1.8187,3.2246,2.6279,5.3689,2.0536
2.9596,1.4376,2.1677,0.6281,1.8863,1.8827,0.06305,0.642,1.5596,0.7575,0.7115,1.9489,0.9353,0.2945,0.669,0.338,4.0875,3.5201,2.1399,0.1058,0.7222,0.9248,3.1708,1.2662
3.3045,0.5954,0.4241,0.3118,0.08267,3.0887,0,0.005701,1.0403,0.5356,0.04249,1.0241,0,0.5546,0.361,NA,3.5178,3.109,1.4951,0.552,0.5023,0.847,3.3734,NA
3.522,1.2929,1.1074,2.4031,0.4567,2.8908,0.5398,1.1528,0.5409,0.9183,0.952,3.4454,1.4771,0.9068,0.6963,2.0835,5.3468,4.7205,2.2858,0.6724,1.5978,0.8724,4.0707,1.4867
3.6759,0.3189,0.05208,1.5453,0.07583,3.8186,0.408,0.06463,0.2543,0.6024,0.01872,2.7382,0.08833,0.2865,0,0.403,5.4703,4.2886,1.9139,0.4669,0.6554,0.661,3.8954,0.2085
3.5825,1.5025,1.186,0.1191,0.5181,NA,0.118,4.983,0.7194,NA,0.8426,0.5292,NA,0.5288,2.5567,0.2288,6.9527,3.9825,NA,0.1737,1.5204,1.6828,3.6427,1.6647
2.4662,0.3615,0.2508,0.2375,0.08293,2.5153,0.03331,0.09733,0,0,0.2102,0.5436,0,0.4959,0.08666,0.01494,4.6157,4.0075,1.3704,0.2818,1.4006,1.1598,2.649,1.0122
3.5747,0.5525,0.714,0.117,0.3697,2.8739,0.293,0.3017,0.3485,1.727,0.364,0.5889,0.8348,0.5515,0.6474,0.05216,4.3533,3.6206,2.2706,2.0935,1.2913,2.2652,2.586,0.968
4.747,1.0006,0.793,1.8154,0,3.5949,0.06193,1.1989,0.1202,0.02046,0.1101,2.4465,0,0.5221,0.2003,0.7129,7.1679,4.3673,0.9206,0.05127,0.8825,0.858,3.1484,1.3466
3.7077,0.6375,1.3531,1.548,0.8588,NA,0.1745,0.6914,0.8241,0.2846,0.6099,1.3819,0.009649,0.3606,0.2471,0.1243,5.6539,4.4124,1.4631,0.4373,0.7365,0.4621,4.6056,1.2858
